x,y,Gauss_Curvature,OSI,TAWSS [pa],WSS [pa]
22,64,-0.133931,6.92E-05,1.94968,3.97481
10,38,-0.0791747,0.00679584,2.16966,3.96609
18,42,-0.498367,0.00155198,1.83025,3.96381
17,29,0.0622935,0.000173178,1.85551,3.95623
12,38,-0.338896,0.000634693,2.16155,3.95513
7,90,-0.69103,0.000980163,1.67397,3.95042
7,59,-0.487078,0.00089266,1.64294,3.94729
20,36,-0.715987,0.000883871,1.97953,3.94727
10,96,-0.375408,0.000726695,1.74602,3.94252
7,54,0.0864489,0.00206097,1.72212,3.93471
18,47,-0.00975118,0.00126244,1.72563,3.93426
10,42,-0.20103,0.00387434,1.91983,3.92756
4,67,0.431933,0.000474843,1.77087,3.92521
5,57,-0.226594,0.00116761,1.79652,3.92234
7,46,-0.578226,0.0098773,1.81725,3.92064
17,39,-0.37783,0.00154391,1.84446,3.91169
18,41,1.19914,0.000975905,1.75325,3.90932
17,42,-0.398094,0.000867311,1.88911,3.90303
21,39,0.678922,0.00330179,1.70893,3.90087
11,38,0.156401,0.00274053,2.20087,3.89533
22,57,-0.142669,0.000853034,1.61233,3.8919
12,21,-0.141031,4.51E-05,2.04422,3.89182
1,68,-0.178036,0.000105811,1.83283,3.89148
9,78,-0.313833,0.000118727,1.95671,3.88372
8,95,-0.134355,0.0011302,1.68186,3.88201
9,56,-0.15112,0.00144747,1.76546,3.87557
3,58,0.170739,0.000575298,1.79537,3.8699
16,29,0.375503,0.000818,1.82128,3.85981
17,45,-0.0456986,0.00039285,1.92701,3.8525
9,77,-0.037059,0.000309006,1.90869,3.85028
8,81,-0.103622,0.000435728,1.87488,3.84237
2,47,0.0319151,0.000681558,1.86419,3.84143
19,76,-0.0295926,0.00236193,1.83475,3.84056
21,19,-0.393575,6.56E-05,2.11271,3.83955
4,73,-0.262979,0.000343854,1.85042,3.83513
2,75,-0.416354,0.000264706,1.90167,3.83029
1,50,-0.0597489,0.00016486,1.74166,3.82929
4,42,-0.181868,0.0169339,1.60952,3.82483
9,21,-0.615084,4.80E-05,2.04331,3.82475
0,52,0.649715,0.000322621,1.68958,3.82032
